Año,activa,ag_tech,agricultura_de_precision,bioinsumos,bpa_total,caminos_rurales,capacitacion,certificaciones,cuenta,economia_circular,efic_energ_y_energia_renov,eje_alianza,eje_persona,eje_planeta,eje_prosperidad,geometry,gestion_de_riesgo,id,indic_agro,integ_comunidad,manejo_de_cultivo_int,manejo_ganaderia_integrada,n_explotacion,nutricion_suelo,participacion_grup_asociativo,pasturas_implantadas,plan_pecuario,polinizacion,responsabilidad_social,rotacion_gramineas,sistema_terraza,superficie,superficie_bpa,tecn_pecuaria,tranqueras_abiertas,trazabilidad,centroide_proj,lon,lat,index_right,localidad
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130217732809,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4391145.25291988 6571187.571097154),No reportado,bpa2020.38,No reportado,No reportado,No reportado,No reportado,La Lonja,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,287.700000,228.000000,No reportado,No reportado,No reportado,POINT (4391145.259915859 6571187.570222551),-64.139673,-30.993202,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,si,No reportado,170115167246,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4384499.329074506 6593748.540232705),No reportado,bpa2020.161,No reportado,No reportado,No reportado,No reportado,El Cóndor,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,38.560000,38.560000,No reportado,No reportado,No reportado,POINT (4384499.294615466 6593748.587195658),-64.206687,-30.789120,77,CAÑADA DE RIO PINTO
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340202895846,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4430813.107460857 6603977.630943465),No reportado,bpa2020.220,No reportado,No reportado,No reportado,No reportado,ORDOÑEZ,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,31.660000,31.660000,No reportado,No reportado,No reportado,POINT (4430813.0878217835 6603977.6783744395),-63.722181,-30.700462,337,CAÑADA DE LUQUE
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340201958607,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4430639.767181555 6604337.406230424),No reportado,bpa2020.230,No reportado,No reportado,No reportado,No reportado,ORDOÑEZ,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,12.680000,12.000000,No reportado,No reportado,No reportado,POINT (4430639.807902252 6604337.365683819),-63.723966,-30.697207,337,CAÑADA DE LUQUE
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340405204253,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4399729.492827769 6578723.675790748),No reportado,bpa2020.244,No reportado,No reportado,No reportado,No reportado,DON OMAR,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,72.840000,72.840000,No reportado,No reportado,No reportado,POINT (4399729.520549112 6578723.667903994),-64.049069,-30.926002,344,SINSACATE
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,si,No reportado,170120249722,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4373198.904098283 6609154.81679617),No reportado,bpa2020.286,No reportado,No reportado,No reportado,No reportado,PALO CAIDO,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,187.350000,187.350000,No reportado,No reportado,No reportado,POINT (4373198.921936834 6609154.821885842),-64.322824,-30.649040,413,VILLA ALBERTINA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,si,No reportado,170120249722,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4373198.904098283 6609154.81679617),No reportado,bpa2020.286,No reportado,No reportado,No reportado,No reportado,PALO CAIDO,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,187.350000,187.350000,No reportado,No reportado,No reportado,POINT (4373198.921936834 6609154.821885842),-64.322824,-30.649040,420,CERRO NEGRO
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340415167925,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4392214.091065066 6579816.634839496),No reportado,bpa2020.613,No reportado,No reportado,No reportado,No reportado,BELEN,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,397.730000,385.000000,No reportado,No reportado,No reportado,POINT (4392214.123092835 6579816.634253077),-64.127570,-30.915484,344,SINSACATE
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340201958615,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4431032.016780052 6604323.409324076),No reportado,bpa2020.380,No reportado,No reportado,No reportado,No reportado,ORDOÑEZ,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,12.680000,12.340000,No reportado,No reportado,No reportado,POINT (4431032.0100694345 6604323.387676506),-63.719873,-30.697356,337,CAÑADA DE LUQUE
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130202217622,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4402951.56779874 6567877.095399143),No reportado,bpa2020.603,No reportado,No reportado,si,No reportado,Vicente Agüero (Duraznos),No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,6.320000,5.000000,No reportado,No reportado,No reportado,POINT (4402951.572247461 6567877.066060087),-64.016399,-31.024088,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,170115174650,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4372867.281819608 6607090.7297017),No reportado,bpa2020.764,No reportado,No reportado,No reportado,No reportado,Las Palmitas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,53.070000,53.070000,No reportado,No reportado,No reportado,POINT (4372867.326261812 6607090.722985659),-64.326537,-30.667618,413,VILLA ALBERTINA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,170115174650,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4372867.281819608 6607090.7297017),No reportado,bpa2020.764,No reportado,No reportado,No reportado,No reportado,Las Palmitas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,53.070000,53.070000,No reportado,No reportado,No reportado,POINT (4372867.326261812 6607090.722985659),-64.326537,-30.667618,420,CERRO NEGRO
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340124295861,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4401800.850131887 6622323.507709158),No reportado,bpa2020.778,No reportado,No reportado,No reportado,No reportado,Teu Pasco,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,676.210000,565.000000,No reportado,No reportado,No reportado,POINT (4401800.854615512 6622323.490512842),-64.023238,-30.532969,340,LAS PEÑAS
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,350328173248,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4405831.786981079 6632127.044979708),No reportado,bpa2020.850,No reportado,No reportado,No reportado,No reportado,SIMBOLAR,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,315.620000,315.000000,No reportado,No reportado,No reportado,POINT (4405831.740154491 6632127.065586401),-63.980354,-30.444874,343,SIMBOLAR
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,240317023953,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4401434.719168649 6399421.389531598),No reportado,bpa2020.915,No reportado,No reportado,No reportado,No reportado,EL DANI,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,49.760000,49.760000,No reportado,No reportado,No reportado,POINT (4401434.7031601975 6399421.406691935),-64.049300,-32.542930,174,LAS PEÑAS
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,170115174617,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4373975.409731338 6607484.345910994),No reportado,bpa2020.986,No reportado,No reportado,No reportado,No reportado,Las Palmitas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,72.320000,72.310000,No reportado,No reportado,No reportado,POINT (4373975.372740897 6607484.334081246),-64.314929,-30.664186,413,VILLA ALBERTINA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,170115174617,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4373975.409731338 6607484.345910994),No reportado,bpa2020.986,No reportado,No reportado,No reportado,No reportado,Las Palmitas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,72.320000,72.310000,No reportado,No reportado,No reportado,POINT (4373975.372740897 6607484.334081246),-64.314929,-30.664186,420,CERRO NEGRO
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130240577209,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4398491.738596283 6569771.387046151),No reportado,bpa2020.1002,No reportado,No reportado,si,No reportado,SILVESTRI,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,2.520000,2.520000,No reportado,No reportado,No reportado,POINT (4398491.719520369 6569771.338643764),-64.062911,-31.006629,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130240577209,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4398491.738596283 6569771.387046151),No reportado,bpa2020.1002,No reportado,No reportado,si,No reportado,SILVESTRI,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,2.520000,2.520000,No reportado,No reportado,No reportado,POINT (4398491.719520369 6569771.338643764),-64.062911,-31.006629,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340128246296,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4406705.093383352 6631851.959287434),No reportado,bpa2020.1051,No reportado,No reportado,No reportado,No reportado,SIMBOLAR,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,162.710000,162.000000,No reportado,No reportado,No reportado,POINT (4406705.113283776 6631851.986732929),-63.971288,-30.447423,343,SIMBOLAR
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,340202887495,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4430780.042244257 6603652.005245952),No reportado,bpa2020.1079,No reportado,No reportado,No reportado,No reportado,ORDOÑEZ,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,32.160000,32.000000,No reportado,No reportado,No reportado,POINT (4430780.013836367 6603652.049647163),-63.722548,-30.703397,337,CAÑADA DE LUQUE
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,350328173230,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4405240.270942938 6633507.189176094),No reportado,bpa2020.1082,No reportado,No reportado,No reportado,No reportado,SIMBOLAR,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,10.940000,10.000000,No reportado,No reportado,No reportado,POINT (4405240.308110756 6633507.220552635),-63.986386,-30.432380,343,SIMBOLAR
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,170115174633,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4373071.913157283 6605541.077489727),No reportado,bpa2020.1111,No reportado,No reportado,No reportado,No reportado,Las Palmitas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,85.370000,85.360000,No reportado,No reportado,No reportado,POINT (4373071.9598055 6605541.08068199),-64.324593,-30.681614,413,VILLA ALBERTINA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,170115174633,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4373071.913157283 6605541.077489727),No reportado,bpa2020.1111,No reportado,No reportado,No reportado,No reportado,Las Palmitas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,85.370000,85.360000,No reportado,No reportado,No reportado,POINT (4373071.9598055 6605541.08068199),-64.324593,-30.681614,420,CERRO NEGRO
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,340415167925,No reportado,No reportado,No reportado,si,si,No reportado,POINT (4392214.091065066 6579816.634839496),No reportado,bpa2020.1336,No reportado,No reportado,No reportado,No reportado,Sinsacate,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,si,397.730000,397.730000,No reportado,No reportado,No reportado,POINT (4392214.123092835 6579816.634253077),-64.127570,-30.915484,344,SINSACATE
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,340201957091,No reportado,No reportado,No reportado,si,si,No reportado,POINT (4426237.334298826 6597005.663404492),No reportado,bpa2020.1350,No reportado,No reportado,No reportado,No reportado,El Eje-María Josefa-Peralta,No reportado,No reportado,No reportado,No reportado,No reportado,si,si,No reportado,110.530000,50.130000,No reportado,No reportado,No reportado,POINT (4426237.291917199 6597005.675664433),-63.770440,-30.763069,337,CAÑADA DE LUQUE
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,si,No reportado,130200578555,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4397140.6562113045 6567802.964405361),No reportado,bpa2020.1351,No reportado,No reportado,No reportado,No reportado,Quinta peschiutta,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,8.410000,1.000000,No reportado,No reportado,No reportado,POINT (4397140.655555662 6567802.929525347),-64.077256,-31.024263,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,si,No reportado,130200578555,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4397140.6562113045 6567802.964405361),No reportado,bpa2020.1351,No reportado,No reportado,No reportado,No reportado,Quinta peschiutta,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,8.410000,1.000000,No reportado,No reportado,No reportado,POINT (4397140.655555662 6567802.929525347),-64.077256,-31.024263,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,si,No reportado,130224309342,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4397798.347649223 6569886.049818849),No reportado,bpa2020.1402,No reportado,No reportado,si,No reportado,MARTIN 1,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,5.240000,2.000000,No reportado,No reportado,No reportado,POINT (4397798.310244709 6569886.001094733),-64.070159,-31.005535,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,si,No reportado,130224309342,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4397798.347649223 6569886.049818849),No reportado,bpa2020.1402,No reportado,No reportado,si,No reportado,MARTIN 1,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,5.240000,2.000000,No reportado,No reportado,No reportado,POINT (4397798.310244709 6569886.001094733),-64.070159,-31.005535,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130228340481,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4400183.578708935 6570706.129420157),No reportado,bpa2020.1415,No reportado,No reportado,si,No reportado,quinta londero,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,No reportado,8.470000,3.500000,No reportado,No reportado,No reportado,POINT (4400183.590721168 6570706.104175493),-64.045106,-30.998344,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130228340481,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4400183.578708935 6570706.129420157),No reportado,bpa2020.1415,No reportado,No reportado,si,No reportado,quinta londero,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,No reportado,8.470000,3.500000,No reportado,No reportado,No reportado,POINT (4400183.590721168 6570706.104175493),-64.045106,-30.998344,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130200565674,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4398202.350245136 6565150.303683236),No reportado,bpa2020.1468,No reportado,No reportado,si,No reportado,Finca Sangoy,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,2.090000,2.090000,No reportado,No reportado,No reportado,POINT (4398202.394252747 6565150.326938203),-64.066405,-31.048277,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,340117707836,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4408492.030394261 6615807.789451165),No reportado,bpa2020.1481,No reportado,No reportado,No reportado,No reportado,El triángulo,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,460.610000,460.000000,si,No reportado,No reportado,POINT (4408492.005813084 6615807.746701143),-63.954099,-30.592263,340,LAS PEÑAS
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130200562187,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4398379.23555643 6565322.326668048),No reportado,bpa2020.1487,No reportado,No reportado,si,No reportado,Finca Sangoy,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,6.330000,6.330000,No reportado,No reportado,No reportado,POINT (4398379.252101275 6565322.364492151),-64.064535,-31.046741,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130202516344,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4394583.433544726 6568119.193823511),No reportado,bpa2020.1573,No reportado,No reportado,si,No reportado,Finca Pettina,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,0.700000,0.700000,No reportado,No reportado,No reportado,POINT (4394583.42457995 6568119.138509746),-64.104001,-31.021185,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130202516344,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4394583.433544726 6568119.193823511),No reportado,bpa2020.1573,No reportado,No reportado,si,No reportado,Finca Pettina,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,0.700000,0.700000,No reportado,No reportado,No reportado,POINT (4394583.42457995 6568119.138509746),-64.104001,-31.021185,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,340501968540,No reportado,No reportado,No reportado,si,si,No reportado,POINT (4385205.914156967 6592590.678150095),No reportado,bpa2020.1575,No reportado,No reportado,No reportado,No reportado,LA VITA,No reportado,si,si,No reportado,No reportado,No reportado,No reportado,No reportado,350.500000,200.000000,No reportado,No reportado,No reportado,POINT (4385205.933518537 6592590.679472352),-64.199436,-30.799630,77,CAÑADA DE RIO PINTO
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170106151434,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4385814.3678231435 6603746.767322117),No reportado,bpa2020.1646,No reportado,No reportado,No reportado,No reportado,El Jaguel - Las Manzanas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,si,80.670000,80.670000,No reportado,No reportado,No reportado,POINT (4385814.32712599 6603746.816260615),-64.191840,-30.699083,82,VILLA GUTIERREZ
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,si,No reportado,340401969247,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4393261.401017493 6577103.509521326),No reportado,bpa2020.1656,No reportado,No reportado,No reportado,No reportado,SAN PABLO,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,64.960000,64.000000,No reportado,No reportado,No reportado,POINT (4393261.380738345 6577103.52370331),-64.116900,-30.940046,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,si,No reportado,340401969247,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4393261.401017493 6577103.509521326),No reportado,bpa2020.1656,No reportado,No reportado,No reportado,No reportado,SAN PABLO,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,64.960000,64.000000,No reportado,No reportado,No reportado,POINT (4393261.380738345 6577103.52370331),-64.116900,-30.940046,344,SINSACATE
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,340517704224,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4379384.547300475 6575396.730658548),No reportado,bpa2020.1676,No reportado,No reportado,No reportado,No reportado,Pompeya,No reportado,No reportado,si,No reportado,No reportado,No reportado,si,No reportado,37.250000,37.240000,No reportado,No reportado,No reportado,POINT (4379384.519928076 6575396.726859634),-64.262280,-30.954101,390,ASCOCHINGA
2020-01-01,0,No reportado,si,No reportado,2,No reportado,No reportado,No reportado,130217732795,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4390371.740805009 6571271.32650022),No reportado,bpa2020.1695,No reportado,No reportado,No reportado,No reportado,Alquiler Rigoni- Los Molles,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,259.520000,137.000000,No reportado,No reportado,No reportado,POINT (4390371.7219870845 6571271.3693864085),-64.147761,-30.992375,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130203340649,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4397307.829179559 6564779.400579805),No reportado,bpa2020.1757,No reportado,No reportado,si,No reportado,Finca Silva,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,25.000000,5.000000,No reportado,No reportado,No reportado,POINT (4397307.798081218 6564779.423325192),-64.075812,-31.051544,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130200572026,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4395198.168575267 6567606.979948708),No reportado,bpa2020.1760,No reportado,No reportado,si,No reportado,Finca Pettina,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,3.290000,3.290000,No reportado,No reportado,No reportado,POINT (4395198.181195937 6567607.034648344),-64.097617,-31.025859,22,COLONIA CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,130200572026,No reportado,No reportado,No reportado,si,No reportado,si,POINT (4395198.168575267 6567606.979948708),No reportado,bpa2020.1760,No reportado,No reportado,si,No reportado,Finca Pettina,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,3.290000,3.290000,No reportado,No reportado,No reportado,POINT (4395198.181195937 6567607.034648344),-64.097617,-31.025859,27,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170408102114,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4366033.511566536 6617993.092986114),No reportado,bpa2020.1776,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,14.000000,14.000000,si,No reportado,No reportado,POINT (4366033.551306844 6617993.074929034),-64.396413,-30.568559,416,ISCHILIN VIEJO
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170408102114,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4366033.511566536 6617993.092986114),No reportado,bpa2020.1776,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,14.000000,14.000000,si,No reportado,No reportado,POINT (4366033.551306844 6617993.074929034),-64.396413,-30.568559,421,ISCHILIN
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,240325959330,No reportado,No reportado,No reportado,si,si,No reportado,POINT (4398854.578897683 6400949.234272582),No reportado,bpa2020.1795,No reportado,No reportado,No reportado,No reportado,MARINI EMMA MARIA,si,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,148.530000,49.000000,No reportado,No reportado,No reportado,POINT (4398854.570607924 6400949.215419992),-64.076599,-32.528923,174,LAS PEÑAS
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170415073928,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4365178.05201881 6619075.661260754),No reportado,bpa2020.1831,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,25.720000,25.000000,si,No reportado,No reportado,POINT (4365178.096131119 6619075.609942377),-64.405187,-30.558701,416,ISCHILIN VIEJO
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170415073928,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4365178.05201881 6619075.661260754),No reportado,bpa2020.1831,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,25.720000,25.000000,si,No reportado,No reportado,POINT (4365178.096131119 6619075.609942377),-64.405187,-30.558701,421,ISCHILIN
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170100713589,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4385475.817184153 6603891.20229957),No reportado,bpa2020.1851,No reportado,No reportado,No reportado,No reportado,El Jaguel - Las Manzanas,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,si,5.350000,5.350000,No reportado,No reportado,No reportado,POINT (4385475.837519673 6603891.1840021815),-64.195357,-30.697748,82,VILLA GUTIERREZ
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,340503648500,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4379452.241270316 6576474.515414937),No reportado,bpa2020.1867,No reportado,No reportado,No reportado,No reportado,Pompeya,No reportado,No reportado,si,No reportado,No reportado,No reportado,si,No reportado,1.000000,1.000000,No reportado,No reportado,No reportado,POINT (4379452.261170476 6576474.478555131),-64.261444,-30.944389,390,ASCOCHINGA
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170415073944,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4365561.178347867 6618310.708705964),No reportado,bpa2020.1868,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,17.790000,17.000000,si,No reportado,No reportado,POINT (4365561.188135158 6618310.753312692),-64.401294,-30.565642,416,ISCHILIN VIEJO
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170415073944,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4365561.178347867 6618310.708705964),No reportado,bpa2020.1868,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,17.790000,17.000000,si,No reportado,No reportado,POINT (4365561.188135158 6618310.753312692),-64.401294,-30.565642,421,ISCHILIN
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170415067634,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4366032.8632230945 6617163.14525617),No reportado,bpa2020.1977,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,52.120000,52.000000,si,No reportado,No reportado,POINT (4366032.868712632 6617163.140592386),-64.396527,-30.576043,416,ISCHILIN VIEJO
2020-01-01,0,No reportado,No reportado,No reportado,2,No reportado,No reportado,No reportado,170415067634,No reportado,No reportado,No reportado,No reportado,si,si,POINT (4366032.8632230945 6617163.14525617),No reportado,bpa2020.1977,No reportado,No reportado,No reportado,No reportado,Establecimiento La Carolina,No reportado,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,52.120000,52.000000,si,No reportado,No reportado,POINT (4366032.868712632 6617163.140592386),-64.396527,-30.576043,421,ISCHILIN
